4367,138
2437,234
2275,219
3818,629
1210,800
3319,3
1001,63
4071,705
616,115
4494,526
4058,213
2523,488
2096,254
4397,616
3264,402
3491,767
533,10
876,139
426,755
2456,644
1658,147
4753,338
3319,59
2044,83
3473,747
3048,770
1671,233
2585,576
4649,287
3694,114
315,143
2313,248
4490,295
2118,555
1521,259
4982,67
3857,17
54,253
3264,430
3369,666
38,210
2135,512
4,262
3999,754
1479,741
577,161
3172,683
1096,298
2185,791
3686,637
3303,27
2790,205
2979,67
4083,626
4234,145
2237,198
4500,775
4206,791
122,707
61,368
4215,44
4267,41
460,578
3297,764
56,598
2682,594
83,7
153,574
4059,164
1989,641
950,554
2793,607
2633,599
4190,2
4962,474
4124,114
427,271
3292,621
3118,479
2199,719
3620,246
4578,754
4170,545
2509,285
655,222
1719,187
2247,275
1278,795
2015,443
2875,537
3350,514
3883,483
157,63
1015,662
3768,208
3495,728
3651,790
661,393
510,614
770,268
3141,444
483,4
4839,486
2808,52
2938,46
2942,551
4093,671
2486,417
693,766
2605,523
2687,78
3165,381
2627,399
1532,355
4483,19
3418,297
1766,366
277,479
1498,384
1808,726
119,230
2567,707
1396,180
2265,389
4126,477
221,223
1685,417
629,375
1909,523
2478,499
345,636
66,533
2570,668
3274,715
1226,365
4257,539
2294,781
1214,770
2687,49
288,113
1596,366
1614,211
4155,172
2960,310
454,297
3632,32
4949,154
765,325
474,198
336,21
4215,320
2432,795
203,719
4839,24
4247,167
2512,725
1402,780
4797,399
3109,284
3827,359
4330,89
1050,9
4613,165
2824,124
3725,674
300,64
478,5
2458,519
2750,414
4327,346
3819,532
2582,554
942,130
2572,159
3814,703
461,370
3827,672
2465,337
2322,27
1180,739
2638,45
2271,741
3476,528
3990,62
2353,299
1503,745
2124,319
2586,260
4026,292
4041,265
2800,364
1506,324
1105,385
4496,49
818,267
59,403
2399,378
1454,173
1210,208
3128,210
2096,646
3500,656
4224,494
194,29
4840,68
855,797
2337,593
1611,584
4451,759
4050,223
766,782
2992,679
4734,669
2755,776
18,418
4640,661
4142,458
4538,74
2384,163
4454,403
2683,142
3988,614
3772,333
1705,740
4875,308
1807,771
1524,787
3076,38
1133,757
1004,357
4018,711
3175,412
1252,215
4084,779
3869,390
3270,382
2038,661
3281,748
4387,481
2194,788
2025,286
3978,129
3518,663
3387,529
4372,768
3328,686
4515,399
3377,751
3406,606
1373,723
3197,443
2384,35
1332,448
210,734
1958,435
4173,380
4219,457
2294,500
2025,369
1042,131
339,280
135,11
3775,511
3652,105
4668,510
4014,362
3577,450
2343,453
1267,320
3592,508
951,99
1432,2
92,163
1618,509
134,754
3331,76
2692,148
1520,472
4874,621
3750,455
3869,110
4595,462
4054,689
3742,395
516,182
2552,284
2907,746
2480,75
4786,609
4405,625
1364,266
1033,787
4491,131
4611,511
423,229
4408,586
3603,244
1036,739
1351,599
1008,45
4379,572
1081,530
3402,269
4563,306
1642,544
2921,701
1877,146
4399,756
4364,202
1616,492
2792,181
688,652
2972,358
1987,596
2249,498
683,605
4826,371
1069,155
1227,59
4817,498
1354,622
3372,601
3199,512
832,651
2218,721
1211,396
2898,657
3839,474
1937,112
4690,711
487,181
2820,85
3915,41
1274,797
3028,264
1628,413
4071,561
2424,536
3210,669
1995,335
2899,592
1702,141
4758,24
4142,431
4723,669
2027,428
2929,414
4311,295
3402,399
2207,291
2172,671
1729,534
4012,414
2353,23
1357,347
2118,409
4872,460
4735,149
723,734
1122,116
2291,346
4795,518
1192,298
3708,767
2284,725
1196,289
3987,211
4855,674
1971,183
2824,662
1749,88
3998,700
4421,277
3984,274
2384,118
719,441
2328,627
1779,775
1845,473
2772,338
540,635
117,329
4062,321
1779,643
110,226
3029,83
66,311
4473,358
3839,170
159,571
1530,516
1391,119
637,20
292,237
1892,252
2536,613
3057,258
2014,65
461,548
309,122
2411,304
2002,89
2532,777
4154,737
1599,579
2564,756
59,550
3638,103
2502,608
1760,385
4455,701
4191,644
4901,421
1785,292
3710,540
4152,654
1622,416
540,491
670,372
47,773
2020,115
874,106
2382,543
2453,184
2399,604
1296,92
4007,250
2522,133
4563,502
1929,450
1557,49
3301,231
4907,367
2665,456
1951,81
3502,422
3622,533
4219,797
3510,717
728,537
4643,190
499,325
834,450
1733,170
402,356
3125,663
3293,224
2568,413
3349,189
3895,308
2393,198
3853,14
3427,627
558,476
3761,647
666,115
49,624
1459,61
1970,561
3427,123
3159,632
4139,307
2120,179
3536,286
610,332
4387,563
1203,771
1957,579
2822,735
4263,299
858,759
4805,190
4396,547
4798,261
4722,681
3220,177
2793,454
3132,458
4069,654
2590,606
1556,738
3686,628
2374,773
3647,439
3938,695
3377,612
2756,422
3814,164
903,460
3894,423
3098,75
4349,119
1366,495
2989,617
2284,171
1459,350
4197,348
4925,181
4676,268
744,774
3575,64
4193,756
1850,198
4862,554
4181,454
732,155
1278,796
2201,573
4393,400
1626,373
4458,315
4779,640
106,462
756,50
139,421
4869,208
230,759
1498,596
1248,487
1863,306
3349,368
3219,35
3346,92
4616,226
1726,716
4177,98
2087,537
410,415
2735,30
3882,75
2553,733
4921,446
3822,338
2493,767
3717,656
2551,783
1819,454
1405,102
4303,441
4444,171
3957,36
218,707
2270,199
3991,178
3898,537
1653,631
1296,674
4194,663
4325,510
259,369
177,259
2703,655
4564,586
249,268
889,608
3819,573
4384,393
1331,570
616,552
1243,255
3838,544
1932,263
3472,730
3574,243
1397,546
142,175
3637,99
3368,159
2595,424
4775,497
2572,529
3970,209
956,395
285,78
3490,321
2736,729
3228,81
94,489
986,124
4658,555
1790,393
1293,339
2119,128
4708,431
594,332
917,254
4651,47
68,539
437,414
4764,431
1423,54
4162,499
3158,622
2518,402
2203,627
4068,104
1574,433
4585,764
1737,779
209,149
1764,754
4380,526
4984,261
1520,691
932,629
2906,430
637,7
4980,130
672,732
3042,772
2821,596
4849,202
1738,217
1309,607
2395,713
2117,576
328,798
4456,397
3379,66
236,365
1093,264
2024,718
3469,448
4630,571
2416,517
1096,549
