38443,47,18440
30954,51,40223
39900,24,35496
31920,62,47023
38030,28,4152
7617,21,31355
39880,44,47401
42315,15,20768
40643,90,2211
14398,21,48835
1128,32,43140
40677,14,38420
36380,19,18437
2948,91,4932
28514,62,35803
45521,91,37491
19783,19,28176
20965,54,46198
37467,13,41765
40670,83,3843
21105,32,19528
27479,24,23329
49486,38,23900
47214,22,29218
20564,21,4686
43598,15,40389
12514,44,26835
20725,20,33309
7917,47,5195
7841,13,43592
36564,79,42296
36026,15,42434
24739,70,19908
23518,62,7062
25357,70,17231
45911,47,23009
10564,22,6889
17383,28,29753
41013,14,640
45320,15,4191
4405,38,29276
7635,51,30258
11443,20,7690
679,15,21819
9747,32,28718
7351,79,32228
3882,13,2308
39623,44,12883
29131,44,25855
29266,22,44725
28009,91,38242
19369,20,37114
24782,19,13668
32307,44,38228
49440,21,13769
15947,90,24384
14231,28,25222
42089,44,45561
43689,51,235
39181,90,47633
28427,44,17868
1640,51,25795
13928,83,15894
8655,14,49784
35503,47,28150
3614,19,10771
49198,14,16340
30335,13,43385
35753,15,48339
31328,90,37789
31566,19,48348
34722,91,38906
44149,15,30046
5842,79,5690
15252,21,47358
6595,47,34779
29380,22,15920
31394,15,37513
21190,38,38639
17476,91,17396
45982,21,33023
49156,44,946
44056,32,13827
45071,28,38776
6597,15,10037
14181,14,2260
40710,13,11646
37911,13,43797
38960,24,20815
36534,32,905
28351,91,43809
34486,83,36090
10589,90,28668
16104,51,45685
14857,15,39449
41662,70,37317
704,62,16633
30601,28,78
9630,83,32642
42253,38,861
20438,28,46838
8595,19,9442
32166,51,13667
735,14,49247
14885,32,39096
22485,70,30740
12888,28,650
44677,15,48757
4129,21,5310
49066,83,36178
31594,20,46335
37829,62,30681
35452,38,35066
11918,19,23313
37413,21,30327
31335,54,46636
45001,62,34451
42123,14,34406
21858,24,24021
11329,90,2028
14866,47,47065
28442,15,37487
18187,70,8514
23212,13,45596
2451,38,9685
26197,24,30957
40198,15,35578
22491,70,44861
27025,70,25623
26263,54,22328
20237,13,16195
20487,19,47147
49720,70,35002
43932,24,3091
47392,54,2337
14995,51,7309
18487,90,39218
9466,20,24953
1446,38,37960
22975,51,37924
31125,22,13247
35579,51,49453
15597,32,41257
2050,28,3528
43943,51,42061
19487,22,23465
41000,70,36580
47048,21,22932
16449,51,20956
1759,83,36233
33095,24,12921
6616,54,40110
11021,79,36201
23083,22,18930
29135,51,330
28692,19,24353
34281,44,32903
36969,54,20260
4439,44,13588
4762,13,33580
32941,47,5351
15928,24,28483
16982,24,41904
1045,51,42299
656,24,43065
33561,44,40899
8242,15,3293
13254,15,36185
34168,44,34562
33111,21,47272
21787,19,27038
396,83,43738
8041,19,8341
13769,90,15399
41137,70,20451
31322,21,47282
6032,38,41375
8023,22,45062
29457,83,40587
36197,83,47846
4934,21,32447
9525,91,46232
34521,22,30420
19673,51,3170
13753,22,33305
33302,19,40766
716,44,1230
42143,14,39106
37311,32,20353
11539,22,20793
15248,90,45780
29708,79,13172
48468,20,699
47376,44,10463
16720,44,16448
13405,13,9491
13263,28,32367
44829,79,38855
19737,38,31598
35600,51,5096
39020,83,23541
19678,62,25256
36433,62,7694
30776,22,23917
3845,51,32166
24779,14,19056
30968,21,10241
16954,44,40103
22615,22,12722
21718,70,9422
27253,83,21228
46369,51,48182
2147,20,8969
21553,14,19558
47725,19,19045
17070,21,22965
36251,13,7789
34519,21,19118
37554,32,9124
7223,32,42140
10075,51,43690
42721,19,16435
45220,90,45747
40565,62,3708
31336,47,16499
3645,79,47266
12303,24,283
2321,62,16482
28290,13,31764
43986,20,11726
35525,83,38685
24192,19,14409
18108,32,26363
27078,24,28569
18068,24,46233
5719,38,22918
10608,19,36327
27871,13,18108
30721,14,46713
34369,14,49006
40604,51,13370
17622,91,24984
14871,24,17887
36685,21,4418
24025,70,18495
24971,62,7477
6666,14,48967
36777,70,23103
21787,70,48754
34453,28,8802
36010,24,45286
19661,32,40271
44640,51,4966
19424,21,30517
15833,91,30476
39887,54,28151
38960,38,182
21731,38,22211
41006,21,32907
13994,54,22286
40768,91,30304
27135,15,26448
20614,38,3179
11142,90,18643
23676,79,46896
14606,54,10114
14569,32,24994
4939,79,15098
